Number,Wins,Losses,Draws,Simulations,White Nodes,Black Nodes,Moves From End,Fen
1,440,55,9505,10000,15000,10000,10,8/3k4/5PK1/p1p5/P1B2P1P/1P6/8/8 w - - 7 128
2,383,60,9557,10000,15000,10000,10,8/3k4/5PK1/p1p5/P1B2P1P/1P6/8/8 w - - 7 128
3,421,64,9515,10000,15000,10000,10,8/3k4/5PK1/p1p5/P1B2P1P/1P6/8/8 w - - 7 128
4,447,74,9479,10000,15000,10000,10,8/3k4/5PK1/p1p5/P1B2P1P/1P6/8/8 w - - 7 128
5,420,61,9519,10000,15000,10000,10,8/3k4/5PK1/p1p5/P1B2P1P/1P6/8/8 w - - 7 128
6,459,67,9474,10000,15000,10000,10,8/3k4/5PK1/p1p5/P1B2P1P/1P6/8/8 w - - 7 128
7,428,70,9502,10000,15000,10000,10,8/3k4/5PK1/p1p5/P1B2P1P/1P6/8/8 w - - 7 128
8,409,58,9533,10000,15000,10000,10,8/3k4/5PK1/p1p5/P1B2P1P/1P6/8/8 w - - 7 128
9,421,52,9527,10000,15000,10000,10,8/3k4/5PK1/p1p5/P1B2P1P/1P6/8/8 w - - 7 128
10,452,60,9488,10000,15000,10000,10,8/3k4/5PK1/p1p5/P1B2P1P/1P6/8/8 w - - 7 128
11,414,76,9510,10000,15000,10000,10,8/3k4/5PK1/p1p5/P1B2P1P/1P6/8/8 w - - 7 128
12,394,59,9547,10000,15000,10000,10,8/3k4/5PK1/p1p5/P1B2P1P/1P6/8/8 w - - 7 128
13,432,56,9512,10000,15000,10000,10,8/3k4/5PK1/p1p5/P1B2P1P/1P6/8/8 w - - 7 128
14,416,56,9528,10000,15000,10000,10,8/3k4/5PK1/p1p5/P1B2P1P/1P6/8/8 w - - 7 128
15,430,71,9499,10000,15000,10000,10,8/3k4/5PK1/p1p5/P1B2P1P/1P6/8/8 w - - 7 128
16,412,55,9533,10000,15000,10000,10,8/3k4/5PK1/p1p5/P1B2P1P/1P6/8/8 w - - 7 128
17,392,59,9549,10000,15000,10000,10,8/3k4/5PK1/p1p5/P1B2P1P/1P6/8/8 w - - 7 128
18,435,57,9508,10000,15000,10000,10,8/3k4/5PK1/p1p5/P1B2P1P/1P6/8/8 w - - 7 128
19,432,58,9510,10000,15000,10000,10,8/3k4/5PK1/p1p5/P1B2P1P/1P6/8/8 w - - 7 128
